0.079,0.098,0.883,0.471,0.723,0.26,0.23,0.684,0.615,0.553,0.649,0.888,0.214
0.209,0.179,0.767,0.475,0.632,0.297,0.313,0.603,0.563,0.474,0.66,0.802,0.27
0.087,0.191,0.756,0.47,0.642,0.223,0.271,0.656,0.502,0.397,0.647,0.999,0.267
0.178,0.081,0.912,0.47,0.41,0.629,0.604,0.312,0.388,0.329,0.501,0.617,0.262
0.335,0.278,0.654,0.443,0.451,0.555,0.542,0.375,0.486,0.271,0.818,0.617,0.264
0.069,0.246,0.615,0.436,0.349,0.703,0.666,0.261,0.339,0.318,0.408,0.518,0.518
0.157,0.67,0.427,0.028,0.207,0.962,0.895,0.051,0.098,0.206,0.048,0.765,0.376
0.139,0.295,0.596,0.484,0.511,0.592,0.5,0.402,0.484,0.439,0.538,0.629,0.324
0.173,0.236,0.694,0.467,0.561,0.408,0.396,0.504,0.563,0.37,0.831,0.679,0.343
0.329,0.212,0.736,0.458,0.409,0.592,0.583,0.334,0.455,0.224,0.825,0.605,0.356
0.381,0.369,0.501,0.423,0.545,0.592,0.479,0.431,0.499,0.423,0.598,0.716,0.326
0.486,0.233,0.764,0.389,0.441,0.592,0.562,0.341,0.394,0.261,0.627,0.765,0.309
0.895,0.767,0.268,0.016,0.335,0.445,0.562,0.338,0.297,0.406,0.169,0.358,0.412
0.611,0.336,0.647,0.355,0.483,0.408,0.458,0.451,0.438,0.352,0.578,0.716,0.273
0.699,0.327,0.555,0.473,0.536,0.592,0.479,0.425,0.476,0.432,0.531,0.74,0.355
0.366,0.213,0.741,0.437,0.482,0.592,0.542,0.372,0.499,0.308,0.787,0.642,0.328
0.632,0.316,0.551,0.396,0.535,0.408,0.417,0.477,0.438,0.269,0.713,0.913,0.344
0.798,0.31,0.691,0.346,0.62,0.408,0.375,0.543,0.528,0.493,0.551,0.827,0.356
0.121,0.379,0.517,0.436,0.639,0.223,0.271,0.646,0.648,0.549,0.73,0.592,0.322
0.225,0.237,0.761,0.387,0.568,0.518,0.438,0.46,0.452,0.261,0.759,0.974,0.254
0.434,0.317,0.542,0.508,0.377,0.629,0.625,0.294,0.353,0.303,0.465,0.605,0.367
0.538,0.271,0.711,0.388,0.572,0.445,0.417,0.497,0.499,0.424,0.597,0.802,0.306
